high_booking_rate,accommodates,availability_30,availability_365,availability_60,availability_90,bathrooms,bedrooms,beds,cancellation_policy,cleaning_fee,extra_people,guests_included,host_identity_verified,host_is_superhost,host_listings_count,host_response_rate,host_response_time,instant_bookable,is_location_exact,maximum_nights,minimum_nights,Community_areas,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,security_deposit,square_feet,weekly_price,amenities_.Air.conditioning.,amenities_.Bed.linens.,amenities_.Carbon.monoxide.detector.,amenities_.Coffee.maker.,amenities_.Cooking.basics.,amenities_.Dishes.and.silverware.,amenities_.Extra.pillows.and.blankets.,amenities_.Fire.extinguisher.,amenities_.First.aid.kit.,amenities_.Free.street.parking.,amenities_.Hair.dryer.,amenities_.Hot.water.,amenities_.Laptop.friendly.workspace.,amenities_.Lock.on.bedroom.door.,amenities_.Long.term.stays.allowed.,amenities_.Private.entrance.,amenities_.Self.check.in.,amenities_.Smoke.detector.,amenities_Dishwasher,amenities_Dryer,amenities_Essentials,amenities_Hangers,amenities_Heating,amenities_Iron,amenities_Kitchen,amenities_Microwave,amenities_Oven,amenities_Refrigerator,amenities_Shampoo,amenities_Stove,amenities_TV,amenities_Washer,is_next_to_Lake,is_high_crime_area,is_major_section
1,6,17,342,40,70,2,3,3,moderate,99,0,1,0,1,3,100,within an hour,FALSE,TRUE,1124,2,FarNorthSide,139,Apartment,10,10,10,10,10,100,10,Entire home/apt,500,1100,550,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0,1,9,302,28,58,1,1,1,moderate,40,45,1,0,1,4,100,within an hour,FALSE,TRUE,1125,31,NorthWestSide,33,Condominium,10,10,10,10,10,99,10,Private room,175,1100,550,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
0,2,29,364,59,89,1,1,1,strict_14_with_grace_period,100,0,1,1,0,2,89,within a few hours,FALSE,TRUE,30,2,WestSide,199,Apartment,10,10,10,10,10,100,10,Entire home/apt,500,1100,550,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1,3,25,341,40,70,1,1,1,strict_14_with_grace_period,25,10,2,1,1,1,100,within a few hours,FALSE,TRUE,1125,1,NorthWestSide,60,House,10,10,9,10,9,96,10,Entire home/apt,0,1100,530,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
0,1,0,0,0,0,1,1,1,moderate,10,5,1,1,0,17,100,within an hour,TRUE,FALSE,4,1,NorthSide,99,Apartment,10,10,10,10,10,100,10,Shared room,100,1100,550,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,2,10,170,37,67,1.5,1,1,moderate,10,0,1,0,1,2,100,within an hour,TRUE,TRUE,6,2,NorthSide,75,House,10,10,10,10,10,99,10,Private room,0,1100,550,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
0,4,28,362,58,88,1,1,2,flexible,0,0,1,0,0,7,40,a few days or more,TRUE,FALSE,28,2,Central,190,Other,10,10,10,10,10,97,10,Hotel room,0,1100,550,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1
0,6,13,291,42,72,2,2,4,strict_14_with_grace_period,121,0,1,0,1,100,100,within an hour,TRUE,TRUE,1125,3,Central,299,Apartment,9,10,9,9,10,94,9,Entire home/apt,0,1100,550,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
0,2,30,365,60,90,1,1,1,strict_14_with_grace_period,100,0,1,0,1,22,100,within an hour,FALSE,TRUE,1124,31,Central,185,Apartment,10,10,10,10,10,100,10,Entire home/apt,0,1100,550,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
1,4,20,43,43,43,1,2,2,moderate,70,0,1,0,0,1,100,within an hour,TRUE,TRUE,1125,2,WestSide,50,Apartment,10,10,9,10,10,95,10,Entire home/apt,0,1100,550,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
0,4,30,365,60,90,1,1,2,flexible,120,0,1,0,1,29,100,within a few hours,FALSE,TRUE,365,32,Central,149,Apartment,10,10,10,10,10,97,10,Entire home/apt,100,1100,550,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
0,2,24,84,54,84,1,1,1,strict_14_with_grace_period,30,10,1,1,1,5,100,within an hour,FALSE,FALSE,1125,2,SouthSide,35,House,10,10,9,10,10,96,10,Private room,200,1100,550,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,2,0,193,0,0,1,1,1,flexible,125,0,1,0,0,1037,97,within a few hours,TRUE,TRUE,90,30,Central,122,Apartment,10,10,10,10,10,97,10,Entire home/apt,100,1100,550,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
0,7,30,361,56,86,2.5,4,4,strict_14_with_grace_period,350,0,1,0,0,0,100,within a few hours,TRUE,TRUE,1125,2,WestSide,600,House,10,10,9,10,10,100,10,Entire home/apt,500,1100,550,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1
0,6,29,177,57,87,2,3,2,strict_14_with_grace_period,50,15,4,0,0,1,83,within an hour,FALSE,FALSE,1125,1,FarNorthSide,150,Condominium,9,9,9,9,9,87,9,Entire home/apt,500,1100,550,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0
1,3,0,203,0,0,1,1,2,strict_14_with_grace_period,0,16,1,1,1,2,100,within an hour,FALSE,TRUE,1125,2,SouthSide,43,Condominium,10,10,10,10,9,98,10,Private room,150,1100,225,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,2,30,365,60,90,1,0,1,flexible,35,75,2,1,1,3,100,within an hour,TRUE,TRUE,1125,1,FarNorthSide,65,House,10,10,9,10,10,100,10,Private room,500,1100,550,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
1,2,21,349,51,81,1,1,1,flexible,30,15,1,1,1,8,94,within an hour,FALSE,TRUE,1125,1,WestSide,78,Apartment,10,10,10,10,10,96,10,Private room,250,1100,550,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1
0,16,19,340,38,65,3,10,13,moderate,299,0,1,1,0,9,100,within an hour,FALSE,TRUE,1124,2,WestSide,598,House,9,10,9,10,6,83,9,Entire home/apt,1000,1100,550,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0,2,26,361,56,86,1,1,1,moderate,29,0,1,0,0,14,100,within an hour,TRUE,TRUE,400,1,NorthWestSide,37,Apartment,10,10,10,10,10,97,10,Private room,100,1100,550,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
0,2,24,60,48,60,1,1,1,moderate,35,10,1,0,1,0,100,within an hour,FALSE,TRUE,28,1,FarNorthSide,65,Apartment,10,10,10,10,10,99,10,Private room,0,1100,550,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0,2,0,36,24,36,1.5,1,1,flexible,100,8,2,1,1,2,100,within a day,FALSE,TRUE,356,30,FarNorthSide,47,Other,10,10,10,10,10,97,10,Private room,400,1100,550,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
0,2,30,361,60,86,1,1,1,moderate,50,0,1,0,0,5,100,within an hour,TRUE,TRUE,30,6,NorthSide,49,Other,10,10,10,10,10,100,10,Private room,100,1100,550,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1
0,14,27,356,57,87,2,5,8,strict_14_with_grace_period,150,0,1,0,1,8,100,within an hour,TRUE,TRUE,1125,1,WestSide,299,House,9,10,9,10,10,90,9,Entire home/apt,600,1100,550,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
0,2,0,0,0,0,1,1,1,flexible,20,0,1,0,0,3,100,N/A,FALSE,FALSE,1125,1,WestSide,75,Apartment,10,10,10,10,10,100,10,Private room,100,1100,550,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1
0,4,0,118,21,51,2,3,3,moderate,125,300,4,1,1,1,90,within an hour,FALSE,FALSE,1125,2,Central,250,Condominium,10,10,10,10,10,100,10,Entire home/apt,400,1100,550,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,4,30,180,60,90,1,1,2,strict_14_with_grace_period,75,25,4,0,0,2,100,within an hour,TRUE,TRUE,1125,2,Central,197,Apartment,9,10,10,10,9,93,9,Entire home/apt,400,1100,550,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,4,0,0,0,0,1,2,2,flexible,30,0,1,0,0,1,100,within an hour,TRUE,TRUE,6,1,SouthSide,85,Apartment,9,9,10,9,9,94,9,Entire home/apt,0,1100,550,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1
0,4,21,352,48,77,1,0,1,strict_14_with_grace_period,50,0,1,0,0,2,83,within an hour,TRUE,TRUE,1125,1,FarNorthSide,91,Condominium,8,8,9,8,10,80,8,Entire home/apt,0,1100,550,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0
0,6,22,301,52,82,2,2,4,strict_14_with_grace_period,131,0,1,0,1,100,100,within an hour,TRUE,TRUE,1125,3,Central,249,Apartment,10,10,10,10,10,99,9,Entire home/apt,0,1100,550,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,3,29,100,59,89,1,2,2,flexible,250,0,1,0,0,6,100,within an hour,FALSE,TRUE,1125,32,Central,200,House,10,10,10,10,10,97,10,Entire home/apt,100,1100,550,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,4,30,90,60,90,1,2,1,strict_14_with_grace_period,70,10,4,1,0,2,80,within an hour,FALSE,FALSE,120,1,FarSouthEastSide,155,Apartment,10,10,5,10,10,90,10,Entire home/apt,0,1100,550,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0
0,4,22,70,41,70,1,1,1,flexible,90,0,1,1,1,15,90,within an hour,FALSE,TRUE,1125,20,Central,145,Apartment,10,10,10,10,10,97,10,Entire home/apt,0,1100,550,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1
0,2,13,55,43,55,1,1,2,moderate,25,20,1,1,1,6,100,within an hour,TRUE,FALSE,14,1,WestSide,20,Apartment,9,10,10,10,10,94,10,Shared room,100,1100,550,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
0,6,29,179,59,89,1,3,3,flexible,50,25,2,0,1,1,100,within an hour,TRUE,TRUE,1125,2,NorthSide,250,Apartment,10,10,10,10,10,96,9,Entire home/apt,0,1100,550,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1
0,4,0,0,0,0,1,2,2,strict_14_with_grace_period,75,20,3,0,0,1,100,N/A,FALSE,FALSE,1125,1,FarNorthSide,122,House,10,10,9,10,8,100,8,Private room,250,1100,550,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
0,24,11,289,31,51,4,6,14,strict_14_with_grace_period,299,25,16,1,1,10,100,within an hour,FALSE,TRUE,1124,2,WestSide,599,Apartment,9,10,9,10,10,95,9,Entire home/apt,1000,1100,550,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
0,4,30,180,60,90,1,0,3,flexible,20,15,1,0,1,1,100,within an hour,TRUE,TRUE,7,1,FarNorthSide,34,House,10,10,10,10,10,99,10,Private room,100,1100,550,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0
1,2,27,361,56,86,1,0,2,moderate,49,0,1,1,0,6,100,within an hour,FALSE,TRUE,1125,2,Central,88,Other,10,10,9,10,10,95,9,Entire home/apt,200,1100,550,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,2,11,335,39,69,1,1,1,moderate,55,0,1,0,0,2,100,within a few hours,TRUE,TRUE,15,1,NorthSide,38,Apartment,10,9,9,10,10,94,9,Private room,100,1100,550,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
0,4,20,160,41,71,1,2,2,moderate,39,0,1,0,1,1,100,within an hour,FALSE,TRUE,1125,2,NorthSide,109,Apartment,10,10,10,10,10,97,9,Entire home/apt,0,1100,550,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1,4,13,53,29,53,1,1,1,moderate,70,0,1,1,1,2,100,within an hour,TRUE,TRUE,1125,2,Central,99,Condominium,10,10,9,10,10,97,10,Entire home/apt,0,1100,550,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,4,0,49,19,49,1,2,3,moderate,70,10,5,1,1,1,100,N/A,TRUE,FALSE,30,2,NorthWestSide,45,Apartment,10,10,10,10,10,96,10,Entire home/apt,200,1100,550,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
0,2,25,36,36,36,1.5,1,1,flexible,55,0,1,1,0,5,100,within a few hours,FALSE,TRUE,1125,2,Central,350,Apartment,10,10,10,10,10,100,10,Entire home/apt,100,1100,550,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,4,19,150,47,73,2,2,2,strict_14_with_grace_period,129,30,4,1,0,1083,99,within an hour,TRUE,FALSE,1125,2,Central,250,Apartment,10,10,10,10,10,98,10,Entire home/apt,500,1100,550,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
1,2,12,19,18,18,1,0,1,moderate,40,0,1,1,1,2,100,within an hour,TRUE,TRUE,1125,3,Central,120,Apartment,10,10,10,10,10,99,10,Entire home/apt,0,1100,550,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1
0,4,29,175,55,85,1,2,2,strict_14_with_grace_period,50,10,2,0,0,1,100,within an hour,TRUE,TRUE,28,1,NorthSide,88,Apartment,10,10,10,10,10,99,9,Entire home/apt,0,1100,550,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
1,4,17,160,42,70,1,1,1,moderate,80,10,2,1,1,7,100,within an hour,FALSE,TRUE,1125,1,NorthSide,76,Apartment,10,10,10,10,10,95,10,Entire home/apt,0,1100,550,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,2,20,20,20,20,1,1,1,strict_14_with_grace_period,25,25,1,1,0,1,100,within an hour,TRUE,TRUE,1125,1,WestSide,250,Apartment,10,9,9,10,10,93,8,Private room,0,1100,550,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1
0,2,21,71,41,71,1,1,2,moderate,20,20,2,1,0,1,100,within an hour,TRUE,TRUE,1125,2,WestSide,66,Apartment,9,10,10,10,9,95,9,Entire home/apt,100,1100,550,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
